"District","FIPS","Year","Variable","Measure Type","Value"
"Marlborough School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2010-2011","Other Count","Number","-6666"
"Marlborough School District","","2010-2011","Other Rate","Percent","-6666"
"Marlborough School District","","2011-2012","Total Cohort Count","Number","-6666"
"Marlborough School District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Marlborough School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2011-2012","Other Count","Number","-6666"
"Marlborough School District","","2011-2012","Other Rate","Percent","-6666"
"Marlborough School District","","2012-2013","Total Cohort Count","Number","-6666"
"Marlborough School District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Marlborough School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2012-2013","Other Count","Number","-6666"
"Marlborough School District","","2012-2013","Other Rate","Percent","-6666"
"Marlborough School District","","2013-2014","Total Cohort Count","Number","-6666"
"Marlborough School District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Marlborough School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2013-2014","Other Count","Number","-6666"
"Marlborough School District","","2013-2014","Other Rate","Percent","-6666"
"Marlborough School District","","2014-2015","Total Cohort Count","Number","-6666"
"Marlborough School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Marlborough School District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2014-2015","Other Count","Number","-6666"
"Marlborough School District","","2014-2015","Other Rate","Percent","-6666"
"Marlborough School District","","2015-2016","Total Cohort Count","Number","-6666"
"Marlborough School District","","2015-2016","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Marlborough School District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2015-2016","Other Count","Number","-6666"
"Marlborough School District","","2015-2016","Other Rate","Percent","-6666"
"Marlborough School District","","2016-2017","Total Cohort Count","Number","-6666"
"Marlborough School District","","2016-2017","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Marlborough School District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2016-2017","Other Count","Number","-6666"
"Marlborough School District","","2016-2017","Other Rate","Percent","-6666"
"Marlborough School District","","2017-2018","Total Cohort Count","Number","-6666"
"Marlborough School District","","2017-2018","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Marlborough School District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2017-2018","Other Count","Number","-6666"
"Marlborough School District","","2017-2018","Other Rate","Percent","-6666"
"Marlborough School District","","2018-2019","Total Cohort Count","Number","-6666"
"Marlborough School District","","2018-2019","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Marlborough School District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Marlborough School District","","2018-2019","Other Count","Number","-6666"
"Marlborough School District","","2018-2019","Other Rate","Percent","-6666"
"Meriden School District","900946520","2010-2011","Total Cohort Count","Number","630"
"Meriden School District","900946520","2010-2011","Four Year Graduation Count","Number","440"
"Meriden School District","900946520","2010-2011","Four Year Graduation Rate","Percent","69.8"
"Meriden School District","900946520","2010-2011","Still Enrolled After Four Years Count","Number","54"
"Meriden School District","900946520","2010-2011","Still Enrolled After Four Years Rate","Percent","8.6"
"Meriden School District","900946520","2010-2011","Other Count","Number","136"
"Meriden School District","900946520","2010-2011","Other Rate","Percent","21.6"
"Meriden School District","900946520","2011-2012","Total Cohort Count","Number","627"
"Meriden School District","900946520","2011-2012","Four Year Graduation Count","Number","436"
"Meriden School District","900946520","2011-2012","Four Year Graduation Rate","Percent","69.5"
"Meriden School District","900946520","2011-2012","Still Enrolled After Four Years Count","Number","51"
"Meriden School District","900946520","2011-2012","Still Enrolled After Four Years Rate","Percent","8.1"
"Meriden School District","900946520","2011-2012","Other Count","Number","140"
"Meriden School District","900946520","2011-2012","Other Rate","Percent","22.3"
"Meriden School District","900946520","2012-2013","Total Cohort Count","Number","639"
"Meriden School District","900946520","2012-2013","Four Year Graduation Count","Number","448"
"Meriden School District","900946520","2012-2013","Four Year Graduation Rate","Percent","70.1"
"Meriden School District","900946520","2012-2013","Still Enrolled After Four Years Count","Number","59"
"Meriden School District","900946520","2012-2013","Still Enrolled After Four Years Rate","Percent","9.2"
"Meriden School District","900946520","2012-2013","Other Count","Number","130"
"Meriden School District","900946520","2012-2013","Other Rate","Percent","20.3"
"Meriden School District","900946520","2013-2014","Total Cohort Count","Number","615"
"Meriden School District","900946520","2013-2014","Four Year Graduation Count","Number","468"
"Meriden School District","900946520","2013-2014","Four Year Graduation Rate","Percent","76.1"
"Meriden School District","900946520","2013-2014","Still Enrolled After Four Years Count","Number","50"
"Meriden School District","900946520","2013-2014","Still Enrolled After Four Years Rate","Percent","8.1"
"Meriden School District","900946520","2013-2014","Other Count","Number","97"
"Meriden School District","900946520","2013-2014","Other Rate","Percent","15.8"
"Meriden School District","900946520","2014-2015","Total Cohort Count","Number","626"
"Meriden School District","900946520","2014-2015","Four Year Graduation Count","Number","463"
"Meriden School District","900946520","2014-2015","Four Year Graduation Rate","Percent","74.0"
"Meriden School District","900946520","2014-2015","Still Enrolled After Four Years Count","Number","49"
"Meriden School District","900946520","2014-2015","Still Enrolled After Four Years Rate","Percent","7.8"
"Meriden School District","900946520","2014-2015","Other Count","Number","114"
"Meriden School District","900946520","2014-2015","Other Rate","Percent","18.2"
"Meriden School District","900946520","2015-2016","Total Cohort Count","Number","611"
"Meriden School District","900946520","2015-2016","Four Year Graduation Count","Number","425"
"Meriden School District","900946520","2015-2016","Four Year Graduation Rate","Percent","69.6"
"Meriden School District","900946520","2015-2016","Still Enrolled After Four Years Count","Number","75"
"Meriden School District","900946520","2015-2016","Still Enrolled After Four Years Rate","Percent","12.3"
"Meriden School District","900946520","2015-2016","Other Count","Number","111"
"Meriden School District","900946520","2015-2016","Other Rate","Percent","18.2"
"Meriden School District","900946520","2016-2017","Total Cohort Count","Number","600"
"Meriden School District","900946520","2016-2017","Four Year Graduation Count","Number","454"
"Meriden School District","900946520","2016-2017","Four Year Graduation Rate","Percent","75.7"
"Meriden School District","900946520","2016-2017","Still Enrolled After Four Years Count","Number","68"
"Meriden School District","900946520","2016-2017","Still Enrolled After Four Years Rate","Percent","11.3"
"Meriden School District","900946520","2016-2017","Other Count","Number","78"
"Meriden School District","900946520","2016-2017","Other Rate","Percent","13.0"
"Meriden School District","900946520","2017-2018","Total Cohort Count","Number","626"
